"dia","time_casa","gols_casa","gols_fora","time_fora","ano","r_timecasa","r_timefora"
"1972-09-17","botafogo",1,2,"gremio",1972,,
"1972-09-17","santacruz",1,1,"americarj",1972,,
"1972-09-17","americamg",2,2,"portuguesa",1972,,
"1972-09-20","internacional",1,0,"gremio",1972,,
"1972-09-20","ceara",0,0,"vitoria",1972,,
"1972-09-20","vasco",3,0,"americarj",1972,,
"1972-09-20","bahia",1,1,"remo",1972,,
"1972-09-20","santacruz",0,0,"sergipe",1972,,
"1972-09-20","cruzeiro",0,1,"corinthians",1972,,
"1972-09-20","crb",0,0,"nautico",1972,,
"1972-09-20","coritiba",0,0,"santos",1972,,
"1972-09-20","abc",3,3,"nacional",1972,,
"1972-09-20","palmeiras",2,2,"botafogo",1972,,
"1972-09-21","saopaulo",1,1,"portuguesa",1972,,
"1972-09-21","flamengo",1,0,"atleticomg",1972,,
"1972-09-21","americamg",0,0,"fluminense",1972,,
"1972-09-23","palmeiras",3,0,"santacruz",1972,,
"1972-09-23","vasco",1,2,"internacional",1972,,
"1972-09-24","crb",0,0,"portuguesa",1972,,
"1972-09-24","nautico",1,1,"americarj",1972,,
"1972-09-24","cruzeiro",1,0,"bahia",1972,,
"1972-09-24","vitoria",0,0,"americamg",1972,,
"1972-09-24","nacional",2,0,"corinthians",1972,,
"1972-09-24","fluminense",2,1,"santos",1972,,
"1972-09-24","ceara",0,0,"gremio",1972,,
"1972-09-24","saopaulo",0,0,"flamengo",1972,,
"1972-09-24","abc",1,2,"atleticomg",1972,,
"1972-09-24","remo",1,1,"botafogo",1972,,
"1972-09-24","coritiba",2,0,"sergipe",1972,,
"1972-09-27","coritiba",3,0,"vitoria",1972,,
"1972-09-27","palmeiras",1,1,"internacional",1972,,
"1972-09-27","nautico",2,1,"portuguesa",1972,,
"1972-09-27","fluminense",1,2,"cruzeiro",1972,,
"1972-09-27","nacional",1,2,"botafogo",1972,,
"1972-09-27","crb",0,1,"americarj",1972,,
"1972-09-27","remo",2,2,"corinthians",1972,,
"1972-09-27","abc",1,1,"gremio",1972,,
